#	run	go		gi		gc		sh	fr			fru			a			au			b			bu			c			cu			th			thu			el			elu			a_			au_			c_			cu_
	70	45.0	10.0	30.0	5	0.118919	0.010921	1.861776	0.073108	0.545451	0.021577	1.070392	0.037036	10.291404	1.124407	20.407192	3.995322	1.851832	0.075650	1.476546	0.059223
	71	45.0	15.0	30.0	5	0.114035	0.014036	1.808383	0.076201	0.555973	0.023039	1.086021	0.038397	9.243477	1.131862	18.874442	3.513921	1.821360	0.083463	1.404922	0.051413
	72	45.0	20.0	30.0	5	0.113134	0.010980	1.748496	0.072905	0.572167	0.022848	1.097330	0.039690	8.253985	1.204338	18.859644	3.052861	1.782896	0.084413	1.344851	0.046984
	76	5.0		5.0		30.0	5	0.113395	0.002482	1.381512	0.072262	0.783917	0.053483	1.035644	0.016594	14.551294	1.635235	13.024016	1.731467	1.317009	0.067804	1.386666	0.040731
	77	5.0		15.0	30.0	5	0.109366	0.001601	1.139755	0.049890	0.935473	0.049356	1.062466	0.023877	63.004157	17.018436	28.608123	9.449216	0.995868	0.063351	1.160754	0.052072
	78	5.0		30.0	30.0	5	0.169296	0.186110	1.082220	0.078977	0.844688	0.064491	1.180448	0.064243	66.956989	21.512727	61.366528	11.045629	0.900515	0.084001	1.358543	0.083893
	79	5.0		5.0		15.0	5	0.149328	0.001870	1.392781	0.080711	0.770266	0.059967	1.046713	0.020539	13.403441	1.597245	12.601149	1.505099	1.341494	0.080439	1.348823	0.042172
	80	5.0		15.0	15.0	5	0.293281	0.145720	1.100703	0.032262	0.949025	0.045525	1.091707	0.031141	66.375381	18.847781	46.452798	6.166968	0.974182	0.054535	1.208004	0.052513
	81	5.0		30.0	15.0	5	0.286903	0.148301	1.037701	0.061631	0.820648	0.065113	1.232120	0.058521	57.824039	26.172752	64.387838	11.636235	0.907916	0.095558	1.420545	0.075379
	82	5.0		5.0		5.0		5	0.199466	0.002451	1.494534	0.085983	0.690428	0.062310	1.087209	0.028343	12.303262	0.628481	13.957156	1.809562	1.464936	0.090628	1.395613	0.056354
	83	5.0		15.0	5.0		5	0.262611	0.187254	1.195562	0.052257	0.829582	0.045030	1.150557	0.022389	13.971809	9.387646	53.101267	8.057394	1.221430	0.086810	1.321866	0.039627
	85	15.0	5.0		30.0	5	0.173572	0.005020	1.858854	0.086823	0.537136	0.038204	1.094305	0.025920	12.173644	0.581814	11.016512	1.968165	1.797688	0.078894	1.600648	0.068568
